year,movie,movie_id,duration,genre,rate,synopsis,votes,gross,release_date,popularity,awards_wins,Oscar_Best_Picture_won,Oscar_nominated
2001,Kate & Leopold,tt0035423,118,Comedy|Fantasy|Romance,6.4000001,An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,66660,47100000,25/12/2001,2363,1,No,1
2000,Chicken Run,tt0120630,84,Animation|Adventure|Comedy,7,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.",144475,106790000,23/06/2000,2859,5,No,0
2005,Fantastic Four,tt0120667,106,Action|Adventure|Family,5.69999981,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",273203,154700000,08/07/2005,1876,0,No,0
2002,Frida,tt0120679,123,Biography|Drama|Romance,7.4000001,"A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work.",63852,25780000,22/11/2002,2508,2,No,6
2001,The Lord of the Rings: The Fellowship of the Ring,tt0120737,178,Adventure|Drama|Fantasy,8.80000019,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle Earth from the Dark Lord Sauron.,1286275,313840000,19/12/2001,204,26,No,13
2000,Mission: Impossible II,tt0120755,123,Action|Adventure|Thriller,6.0999999,"A secret agent is sent to Sydney, to find and destroy a genetically modified disease called ""Chimera"".",249988,215400000,24/05/2000,2153,1,No,0
2002,Resident Evil,tt0120804,100,Action|Horror|Sci-Fi,6.69999981,"A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",204545,39530000,15/03/2002,355,0,No,0
2000,X-Men,tt0120903,104,Action|Adventure|Sci-Fi,7.4000001,Two mutants come to a private academy for their kind whose resident superhero team must oppose a terrorist organization with similar powers.,468351,157300000,14/07/2000,655,0,No,0
2000,The Emperor's New Groove,tt0120917,78,Animation|Adventure|Comedy,7.30000019,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.",133781,89300000,15/12/2000,1332,2,No,1
2005,Corpse Bride,tt0121164,77,Animation|Drama|Family,7.4000001,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her.",197604,53340000,23/09/2005,2022,0,No,1
2002,Star Wars: Episode II - Attack of the Clones,tt0121765,142,Action|Adventure|Fantasy,6.69999981,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé, while Obi-Wan investigates an assassination attempt on the Senator and discovers a secret clone army crafted for the Jedi.",485730,310680000,16/05/2002,544,0,No,1
2005,Star Wars: Episode III - Revenge of the Sith,tt0121766,140,Action|Adventure|Fantasy,7.5999999,"Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.",543318,380260000,19/05/2005,387,2,No,1
2001,Shrek,tt0126029,90,Animation|Adventure|Comedy,7.9000001,"After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back.",483447,267650000,18/05/2001,1064,9,No,2
2001,Planet of the Apes,tt0133152,119,Action|Adventure|Sci-Fi,5.69999981,"An Air Force astronaut crash lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans.",181213,180010000,27/07/2001,1144,0,No,0
2002,Treasure Planet,tt0133240,95,Animation|Adventure|Family,7.0999999,"A Disney animated version of ""Treasure Island"". The only difference is that the film is set in outer space with alien worlds and other galactic wonders.",74746,38120000,27/11/2002,2568,0,No,1
2000,Pitch Black,tt0134847,109,Horror|Sci-Fi,7.0999999,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",197982,39240000,18/02/2000,1353,0,No,0
2001,Training Day,tt0139654,122,Crime|Drama|Thriller,7.69999981,"On his first day on the job as a Los Angeles narcotics officer, a rookie cop goes on a 24-hour training course with a rogue detective who isn't what he appears.",316040,76260000,05/10/2001,930,2,No,2
2000,U-571,tt0141926,116,Action|War,6.5999999,A German submarine is boarded by disguised American submariners trying to capture their Enigma cipher machine.,66965,77090000,21/04/2000,3236,0,No,2
2000,American Psycho,tt0144084,102,Crime|Drama,7.5999999,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",371133,15050000,14/04/2000,515,0,No,0
2002,Spider-Man,tt0145487,121,Action|Adventure,7.30000019,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",561251,403710000,03/05/2002,437,1,No,2
2001,Lara Croft: Tomb Raider,tt0146316,100,Action|Adventure|Fantasy,5.69999981,Video game adventuress Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.,161278,131140000,15/06/2001,2068,0,No,0
2000,High Fidelity,tt0146882,113,Comedy|Drama|Music,7.5,"Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress.",146486,27280000,31/03/2000,2450,0,No,0
2000,The Flintstones in Viva Rock Vegas,tt0158622,90,Comedy|Family|Romance,3.5999999,"In this live-action prequel to the 1994 comedy hit, the Flintstones and the Rubbles go on a trip to Rock Vegas, where Wilma is pursued by playboy Chip Rockefeller.",16035,35230000,28/04/2000,2495,0,No,0
2003,Cold Mountain,tt0159365,154,Adventure|Drama|History,7.19999981,"In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",120878,95630000,25/12/2003,779,5,No,7
2000,Charlie's Angels,tt0160127,98,Action|Adventure|Comedy,5.5,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal.",148354,125310000,03/11/2000,2293,0,No,0
2001,Nowhere in Africa,tt0161860,141,Biography|Drama,7.69999981,A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,10887,6170000,16/05/2003,,0,No,1
2000,Cast Away,tt0162222,143,Adventure|Drama|Romance,7.69999981,A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.,409544,233630000,22/12/2000,690,6,No,2
2001,Ghost World,tt0162346,111,Comedy|Drama,7.4000001,"With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",98471,6200000,21/09/2001,2232,4,No,1
2001,Jurassic Park III,tt0163025,92,Action|Adventure|Sci-Fi,5.9000001,"A decidedly odd couple with ulterior motives convince Dr. Alan Grant to go to Isla Sorna (the second InGen dinosaur lab.), resulting in an unexpected landing...and unexpected new inhabitants on the island.",227486,181170000,18/07/2001,2041,0,No,0
2000,The Beach,tt0163978,119,Adventure|Drama|Romance,6.5999999,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",182324,39780000,11/02/2000,1240,0,No,0
2000,Hollow Man,tt0164052,112,Action|Horror|Sci-Fi,5.69999981,"Scientists discover how to make people invisible, but their test subject becomes an insane killer who stalks them.",104404,73210000,04/08/2000,2149,0,No,1
2002,The Sum of All Fears,tt0164184,124,Action|Drama|Thriller,6.4000001,CIA analyst Jack Ryan must stop the plans of a Neo Nazis faction that threatens to induce a catastrophic conflict between the United States and Russia's newly elected president by detonating a nuclear weapon at a football game in Baltimore.,88382,118470000,31/05/2002,1974,0,No,0
2001,Along Came a Spider,tt0164334,104,Crime|Drama|Thriller,6.30000019,"When a congressman's daughter under Secret Service protection is kidnapped from a private school, detective Alex Cross investigates the case even though he's recovering from the loss of his partner.",60579,74060000,06/04/2001,1872,0,No,0
2000,Romeo Must Die,tt0165929,115,Action|Crime|Thriller,6.0999999,An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,58111,55970000,22/03/2000,2339,0,No,0
2002,Spirit: Stallion of the Cimarron,tt0166813,83,Animation|Adventure|Family,7.0999999,"A wild stallion is captured by humans and slowly loses the will to resist training. Yet throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",46943,73220000,24/05/2002,3222,0,No,1
2001,Mulholland Drive,tt0166924,147,Drama|Mystery|Thriller,8,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",247207,7220000,19/10/2001,564,11,No,1
2004,Hellboy,tt0167190,122,Action|Fantasy|Horror,6.80000019,"A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",250754,59040000,02/04/2004,1092,0,No,0
2003,The Lord of the Rings: The Return of the King,tt0167260,201,Adventure|Drama|Fantasy,8.89999962,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,1264277,377020000,17/12/2003,327,48,Yes,11
2002,The Lord of the Rings: The Two Towers,tt0167261,179,Adventure|Drama|Fantasy,8.69999981,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",1145458,340480000,18/12/2002,590,25,No,6
2000,Dancer in the Dark,tt0168629,140,Crime|Drama|Musical,8,"An east European girl goes to America with her young son, expecting it to be like a Hollywood film.",82205,4160000,06/10/2000,3270,3,No,1
2001,Lagaan: Once Upon a Time in India,tt0169102,224,Adventure|Drama|Musical,8.19999981,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,77479,,08/05/2002,3473,0,No,1
2000,How the Grinch Stole Christmas,tt0170016,104,Comedy|Family|Fantasy,6,"On the outskirts of Whoville, there lives a green, revenge-seeking Grinch who plans on ruining the Christmas holiday for all of the citizens of the town.",150313,260030000,17/11/2000,1593,2,No,3
